0:0:0:0:0:0:0:1 - - [12/May/2014:20:05:09 -0300] "GET /scada/EQ-js/tablesorter/jquery.tablesorter.js HTTP/1.1" 200 40914
0:0:0:0:0:0:0:1 - - [12/May/2014:20:05:09 -0300] "GET /scada/EQ-js/tablesorter/tables.js HTTP/1.1" 200 63
0:0:0:0:0:0:0:1 - - [12/May/2014:20:05:11 -0300] "GET /scada/imagens/profile-pic.jpg HTTP/1.1" 200 5111
0:0:0:0:0:0:0:1 - - [12/May/2014:20:05:11 -0300] "GET /scada/css/images/steps.png HTTP/1.1" 200 71702
0:0:0:0:0:0:0:1 - - [12/May/2014:20:05:11 -0300] "GET /scada/font-awesome/fonts/fontawesome-webfont.woff?v=4.0.3 HTTP/1.1" 200 44432
0:0:0:0:0:0:0:1 - - [12/May/2014:20:11:58 -0300] "GET /scada/grupoOperador/listarGruposOperador HTTP/1.1" 200 12165
0:0:0:0:0:0:0:1 - - [12/May/2014:20:11:59 -0300] "GET /scada/js/jquery.paginate.js HTTP/1.1" 200 7976
0:0:0:0:0:0:0:1 - - [12/May/2014:20:11:59 -0300] "GET /scada/css/paginacao.css HTTP/1.1" 200 2204
0:0:0:0:0:0:0:1 - - [12/May/2014:20:14:49 -0300] "GET /scada/cotacao/listarCotacaos HTTP/1.1" 200 12788
0:0:0:0:0:0:0:1 - - [12/May/2014:20:14:58 -0300] "GET /scada/cotacao/listarCotacaos HTTP/1.1" 200 12788
0:0:0:0:0:0:0:1 - - [12/May/2014:20:15:08 -0300] "GET /scada/cotacao/listarCotacaos HTTP/1.1" 200 12788
0:0:0:0:0:0:0:1 - - [12/May/2014:20:15:17 -0300] "GET /scada/cotacao/editarCotacao/1 HTTP/1.1" 200 10639
0:0:0:0:0:0:0:1 - - [12/May/2014:20:15:18 -0300] "GET /scada/css/estilo.css HTTP/1.1" 200 1793
0:0:0:0:0:0:0:1 - - [12/May/2014:20:15:18 -0300] "GET /scada/css/bootstrap-alterado.css HTTP/1.1" 200 1103
0:0:0:0:0:0:0:1 - - [12/May/2014:20:15:18 -0300] "GET /scada/js/scripts.gerais.js HTTP/1.1" 200 3899
